停水原因,停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
辦理屏縣三地門鄉青葉村光復巷等汰換管線工程(RB-06-0715-01)【7J106_00048】,【停水區域一】屏東縣三地門鄉青葉村;屏東縣高樹鄉建興村;沿山公路二段,2017-04-19 08:00至2017-09-30 18:00(每日上午8點至下午6點),2017-09-30 18:00以後,08-7962041,2017/4/19~2017/10/1,901屏東縣三地門鄉   906屏東縣高樹鄉     
辦理「池上系統-陸安錦屏汰換管線工程」施工，管線連接造成停水【AB106_00013】,【停水區域一】台東縣池上鄉陸安;台東縣海端鄉錦屏,2017-08-01 08:00至2017-09-30 18:00(每日上午8點至下午6點),2017-09-30 18:00以後,工地主任：彭智輝0933-371275，監造人員：薛智惟089-862625,2017/8/2~2017/10/1,958台東縣池上鄉     957台東縣海端鄉     
池上系統-新興上、下路汰換管線工程【A0106_00009】,【停水區域一】台東縣池上鄉新興下路,2017-08-10 08:00至2017-09-29 18:00(每日上午8點至下午6點),2017-09-29 18:00以後,承包商電話:0928-349622(楊世明)    監造人員電話:0932-171550(陳韋君),2017/8/7~2017/9/30,958台東縣池上鄉     
北斗-106年度田尾、埤頭分區計量管網計畫DB-06-1103-02【BB106_00065】,【停水區域一】彰化縣田尾鄉海豐村;中正路三段,2017-09-07 08:00至2017-09-26 18:00(:每日上午8點至下午6點),2017-09-26 18:00以後,04-8882073    0937778383    0912975533,2017/9/6~2017/9/27,522彰化縣田尾鄉     
北斗-106年度田尾、埤頭分區計量管網計畫DB-06-1103-02【BB106_00066】,【停水區域一】彰化縣田尾鄉海豐村;中正路三段,2017-09-07 08:00至2017-09-26 18:00(:每日上午8點至下午6點),2017-09-26 18:00以後,04-8882073    0937778383    0912975533,2017/9/6~2017/9/27,522彰化縣田尾鄉     
辦理水里鄉水里路、中正路及信義鄉開信巷等汰換管線工程【4H106_00061】,【停水區域一】南投縣水里鄉中央村;城中村;中山路二段;中正路;民生路,2017-09-11 09:00至2017-09-30 17:30(每日停水8小時，分段分區停水),2017-09-30 17:30以後,049-2762076,2017/9/7~2017/10/1,553南投縣水里鄉     
辦理高市大寮鳳屏一路汰換管線新舊管線連接施工停水【7T106_00472】,【停水區域一】高雄市大寮區高市大寮鳳屏一路(大漢路~埤北路)及大漢路以南、立德路以北、埤北路以東等水壓降低或無水,2017-09-12 08:00至2017-09-30 18:00(每日上午8點至下午6點),2017-09-30 18:00以後,07-7883714,2017/9/11~2017/10/1,831高雄市大寮區     
溪湖-106年度溪湖、埔鹽、田尾分區計量管網計畫(溪湖鎮東興路及興學街)【BM106_00067】,【停水區域一】彰化縣溪湖鎮湖東里;光平里;平和里,2017-09-13 09:00至2017-09-29 19:00(每日上午9點至下午6點),2017-09-29 19:00以後,04-8851778,2017/9/13~2017/9/30,514彰化縣溪湖鎮     
溪湖-106年度溪湖、埔鹽、田尾分區計量管網計畫(溪湖鎮東興路及興學街)【BM106_00068】,【停水區域一】彰化縣溪湖鎮湖東里;光平里;平和里,2017-09-13 09:00至2017-09-29 19:00(每日上午9點至下午6點),2017-09-29 19:00以後,04-8851778,2017/9/13~2017/9/30,514彰化縣溪湖鎮     
溪湖-106年度溪湖、埔鹽、田尾分區計量管網計畫(溪湖鎮東興路及興學街)施工【BM106_00069】,【停水區域一】彰化縣溪湖鎮湖東里;光平里;平和里,2017-09-13 09:00至2017-09-29 19:00(每日上午9點至下午6點),2017-09-29 19:00以後,04-8851778,2017/9/13~2017/9/30,514彰化縣溪湖鎮     
溪湖-106年度溪湖、埔鹽、田尾分區計量管網計畫(溪湖鎮東興路及興學街)施工【BM106_00070】,【停水區域一】彰化縣溪湖鎮湖東里;光平里;平和里,2017-09-13 09:00至2017-09-29 19:00(每日上午9點至下午6點),2017-09-29 19:00以後,04-8851778,2017/9/13~2017/9/30,514彰化縣溪湖鎮     
溪湖-106年度溪湖、埔鹽、田尾分區計量管網計畫(溪湖鎮東興路及興學街)施工【BM106_00071】,【停水區域一】彰化縣溪湖鎮湖東里;光平里;平和里,2017-09-13 09:00至2017-09-29 19:00(每日上午9點至下午6點),2017-09-29 19:00以後,04-8851778,2017/9/13~2017/9/30,514彰化縣溪湖鎮     
西屯區市政北二路238號邊辦理用戶新裝停水【41106_00021】,【停水區域一】台中市西屯區朝富路、市政北七路、河南路三段、市政北二路等包含附近各巷弄(潮洋里),2017-09-26 08:30至2017-09-26 16:00,2017-09-26 16:00以後,22210169,2017/9/13~2017/9/27,407台中市西屯區     
配合土城區延平及延壽路管線汰換工程【CH106_00106】,【停水區域一】新北市土城區平和里;安和里;延平街口77號旁及周邊巷弄;延和路89號至121號及周邊巷弄,2017-09-11 08:00至2017-09-29 19:00(當日上午8點至下午7點),2017-09-29 19:00以後,02-22655672,2017/9/13~2017/9/30,236新北市土城區     
台中市西屯區文華路(逢甲至福星路)汰換管線工程【RB-04-0401-45】，施工停水。【4S106_01162】,【停水區域一】台中市西屯區文華路;文華路永新巷;文華路永新巷北一弄;文華路永新巷北二弄;文華路永新巷北三弄;文華路永新巷南二弄,2017-09-18 07:00至2017-10-31 16:00(每日07時00分至16時00分，每日16時00分起恢復正常供水。〔僅每日施工路段(約100公尺)週邊用戶停水(影響戶數約數十戶不等〕遇雨順延。),2017-10-31 16:00以後,04-22442469,2017/9/15~2017/11/1,407台中市西屯區     
南區國光路305號邊辦理用戶新裝停水【41106_00022】,【停水區域一】台中市南區國光路、仁和路、台中路、忠明南路等包含附近各巷弄(國光里、南門里、東興里),2017-09-28 08:30至2017-09-28 16:00,2017-09-28 16:00以後,22210169,2017/9/15~2017/9/29,402台中市南區       
溪湖-彰化縣秀水鄉民意街等汰換管線工程(彰水路與安樂街口)施工【BM106_00074】,【停水區域一】彰化縣秀水鄉安東村,2017-09-18 08:30至2017-09-29 19:00(上午8點半至下午7點),2017-09-29 19:00以後,04-8851778,2017/9/18~2017/9/30,504彰化縣秀水鄉     
用戶新裝工程【60106_00071】,【停水區域一】台南市南區1.國華街1段(府緯街口至五妃街口)2.西門路1段545巷(全),2017-09-27 08:30至2017-09-27 17:00,2017-09-27 17:00以後,06-2370021、1910,2017/9/18~2017/9/28,702台南市南區       
本處因(富世小區)進行水量計埋設，將實施局部停水。【9S106_00244】,【停水區域一】花蓮縣秀林鄉秀林村:民享、秀林、民治;花蓮縣新城鄉新城村:新興路、新興路117巷,2017-09-25 13:00至2017-09-25 17:00,2017-09-25 17:00以後,038351141,2017/9/19~2017/9/26,972花蓮縣秀林鄉     971花蓮縣新城鄉     
本處因(新城小區)進行水量計埋設，將實施局部停水。【9S106_00245】,【停水區域一】花蓮縣新城鄉新興路、新興一路～三路、新興一街～三街、新興五街～八街。,2017-09-26 13:00至2017-09-26 17:00,2017-09-26 17:00以後,038351141,2017/9/19~2017/9/27,971花蓮縣新城鄉     
嘉義縣大林鎮中林里中林路汰換管線工程(RB06050103)【5Y106_00144】,【停水區域一】嘉義縣大林鎮中林里中林路,2017-09-25 08:00至2017-09-29 19:00(每日上午8點至下午7點),2017-09-29 19:00以後,05-2262806,2017/9/20~2017/9/30,622嘉義縣大林鎮     
嘉縣水上鄉中庄村汰換管線工程【50106_00069】,【停水區域一】嘉義縣水上鄉中庄村1號至71-9號、中義路823至869號,2017-09-25 08:00至2017-09-25 18:00(:每日上午8點至下午6點),2017-09-25 18:00以後,0972503183監造、現場人員0981011203,2017/9/20~2017/9/26,608嘉義縣水上鄉     
嘉縣水上鄉中庄村汰換管線工程【50106_00070】,【停水區域一】嘉義縣水上鄉中庄村1號及2號、61-28至61-166,2017-09-26 08:00至2017-09-28 18:00(:每日上午8點至下午6點),2017-09-28 18:00以後,0972503183監造、現場人員0981011203,2017/9/20~2017/9/29,608嘉義縣水上鄉     
鹿港-鹿港鎮頂草路一段107巷7弄及99弄、頂草路2段23巷管線汰換【BG106_00029】,【停水區域一】彰化縣鹿港鎮頂番里，鹿港鎮頂番里頂草路一段107巷7弄及99弄、頂草路2段23巷{全部}，進行管線汰換，預定施工期程為9月20日至10月27日，承商施工至該用戶門口前，預計當日下午2點至5點進行用戶外線改接，請民眾提早蓄水備用，待供水恢復後再啟動加壓設備，不便之處，多加體諒。,2017-09-20 09:00至2017-10-27 17:00(每日上午9點至下午5點),2017-10-27 17:00以後,04-7772127、04-7772609,2017/9/20~2017/10/28,505彰化縣鹿港鎮     
用戶新裝工程_東津一路288號【8A106_00090】,【停水區域一】宜蘭縣壯圍鄉美福路三段112巷16號;中興六路98號至中興六路157號;美福七路8號至16號;美福路3段226號;東津路23號至東津路25號，東津一路208號至248號;中興六路118巷1號至20號;中興七路58號至161號;美福六路32號至82號,2017-09-25 13:00至2017-09-25 17:00,2017-09-25 17:00以後,03-9323255*27,2017/9/20~2017/9/26,263宜蘭縣壯圍鄉     
執行西螺所106年分區計量管網工程【5J106_00093】,【停水區域一】雲林縣崙背鄉南陽村、羅厝村,2017-09-20 08:00至2017-09-26 18:00(每日上午8點至下午6點),2017-09-26 18:00以後,05-5862163,2017/9/20~2017/9/27,637雲林縣崙背鄉     
執行西螺所106年分區計量管網工程【5J106_00092】,【停水區域一】雲林縣崙背鄉羅厝村;南陽村,2017-09-20 08:00至2017-09-26 18:00(每日上午8點至下午6點),2017-09-26 18:00以後,055862163,2017/9/20~2017/9/27,637雲林縣崙背鄉     
辦理「嘉市民國路、啟明路汰換管線工程」，抽換埋設200、300公釐DIP自來水管線【50106_00074】,【停水區域一】嘉義市東區啟明路至光彩街路口(含巷弄)、民國路2號至135號、民族路2號至145號路口(含巷弄)、朝陽街5號至120號(含巷弄)。,2017-09-25 08:00至2017-09-29 18:00(每日上午8時到下午6時暫停供水),2017-09-29 18:00以後,052252670#315,2017/9/20~2017/9/30,600嘉義市東區       
嘉縣水上鄉國際城等汰換管線工程RB06050111【50106_00075】,【停水區域一】嘉義縣水上鄉忠和村中庄601號至771號。,2017-09-25 08:00至2017-09-27 18:00(每日上午8點至下午6點),2017-09-27 18:00以後,05-2252670-305,2017/9/21~2017/9/28,608嘉義縣水上鄉     
宜蘭市黎明里黎明二路276巷41號供水延管工程【8A106_00091】,【停水區域一】宜蘭縣宜蘭市黎明二路216號至黎明二路326號，約37戶。,2017-09-25 13:00至2017-09-25 17:00,2017-09-25 17:00以後,039-233-255#50,2017/9/21~2017/9/26,260宜蘭縣宜蘭市     
