營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台中區營業處#L72974#管線遷移工程#2017/10/01 09:00~11:00#無#中市潭子區民族路二段#1911#
台電台中區營業處#L53097#管線遷移工程#2017/10/02 08:00~08:50#無#中市新社區新社段新社小段#1911#
台電台中區營業處#L53097#管線遷移工程#2017/10/02 08:00~08:50#無#中市新社區中和街三段#1911#
台電台中區營業處#L53097#管線遷移工程#2017/10/02 08:00~08:50#無#中市新社區鳥銃頭段#1911#
台電台中區營業處#L53097#管線遷移工程#2017/10/02 08:00~08:50#無#中市新社區復盛小段#1911#
台電台中區營業處#L53097#管線遷移工程#2017/10/02 08:00~08:50#無#中市新社區新中段#1911#
台電台中區營業處#L53097#管線遷移工程#2017/10/02 08:00~08:50#無#中市新社區新社段#1911#
台電台中區營業處#L33314#管線遷移工程#2017/10/02 08:30~12:00#無#中市烏日區三榮路一段#1911#
台電台中區營業處#L23247#管線遷移工程#2017/10/02 08:30~12:00#無#中市沙鹿區中棲路#1911#
台電台中區營業處#L23220#管線遷移工程#2017/10/02 08:30~14:00#無#中市潭子區民生街#1911#
台電台中區營業處#L23220#管線遷移工程#2017/10/02 08:30~14:00#無#中市潭子區中山路三段#1911#
台電台中區營業處#L23180#管線遷移工程#2017/10/02 08:30~12:00#無#中市東勢區東關路四段#1911#
台電台中區營業處#L23180#管線遷移工程#2017/10/02 08:30~12:00#無#中市東勢區東關路#1911#
台電台中區營業處#L23180#管線遷移工程#2017/10/02 08:30~12:00#無#中市東勢區東勢段#1911#
台電台中區營業處#L23180#管線遷移工程#2017/10/02 08:30~12:00#無#中市東勢區大茅埔段#1911#
台電台中區營業處#L23178#管線遷移工程#2017/10/02 08:30~15:30#無#中市豐原區東湳北段#1911#
台電台中區營業處#L23178#管線遷移工程#2017/10/02 08:30~15:30#無#中市豐原區大湳段#1911#
台電台中區營業處#L23178#管線遷移工程#2017/10/02 08:30~15:30#無#中市豐原區大湳大字#1911#
台電台中區營業處#L23178#管線遷移工程#2017/10/02 08:30~15:30#無#中市豐原區三豐路二段#1911#
台電台中區營業處#L23168#管線遷移工程#2017/10/02 08:30~17:00#無#中市東勢區石圍牆段#1911#
台電台中區營業處#L23168#管線遷移工程#2017/10/02 08:30~17:00#無#中市后里區廣福里#1911#
台電台中區營業處#L23168#管線遷移工程#2017/10/02 08:30~17:00#無#中市后里區牛綢坑段#1911#
台電台中區營業處#L23168#管線遷移工程#2017/10/02 08:30~17:00#無#中市后里區牛稠坑段#1911#
台電台中區營業處#L23168#管線遷移工程#2017/10/02 08:30~17:00#無#中市后里區內東路#1911#
台電台中區營業處#L23168#管線遷移工程#2017/10/02 08:30~17:00#無#中市后里區八仙山事業區#1911#
台電台中區營業處#L23247#管線遷移工程#2017/10/02 08:30~12:00#無#中市沙鹿區七賢路#1911#
台電台中區營業處#L23247#管線遷移工程#2017/10/02 08:30~12:00#無#中市沙鹿區竹林段#1911#
台電台中區營業處#L23247#管線遷移工程#2017/10/02 08:30~12:00#無#中市沙鹿區臺灣大道七段#1911#
台電台中區營業處#L33185#管線遷移工程#2017/10/02 08:30~14:00#無#中市烏日區三榮十六路#1911#
台電台中區營業處#L33185#管線遷移工程#2017/10/02 08:30~14:00#無#中市烏日區中山路#1911#
台電台中區營業處#L33185#管線遷移工程#2017/10/02 08:30~14:00#無#中市烏日區中山路三段#1911#
台電台中區營業處#L33185#管線遷移工程#2017/10/02 08:30~14:00#無#中市烏日區長壽段#1911#
台電台中區營業處#L33185#管線遷移工程#2017/10/02 08:30~14:00#無#中市烏日區長壽路#1911#
台電台中區營業處#L33185#管線遷移工程#2017/10/02 08:30~14:00#無#中市烏日區榮泉路#1911#
台電台中區營業處#L53100#管線遷移工程#2017/10/02 09:00~09:50#無#中市新社區中和街三段#1911#
台電台中區營業處#L53100#管線遷移工程#2017/10/02 09:00~09:50#無#中市新社區復盛小段#1911#
台電台中區營業處#L53100#管線遷移工程#2017/10/02 09:00~09:50#無#中市新社區復盛段#1911#
台電台中區營業處#L53100#管線遷移工程#2017/10/02 09:00~09:50#無#中市新社區新中段#1911#
台電台中區營業處#L53100#管線遷移工程#2017/10/02 09:00~09:50#無#中市新社區新社里#1911#
台電台中區營業處#L53100#管線遷移工程#2017/10/02 09:00~09:50#無#中市新社區新社段#1911#
台電台中區營業處#L53100#管線遷移工程#2017/10/02 09:00~09:50#無#中市新社區中和街#1911#
台電台中區營業處#L13041#管線遷移工程#2017/10/02 09:10~10:00#無#中市烏日區五光路#1911#
台電台中區營業處#L53101#管線遷移工程#2017/10/02 10:00~10:40#無#中市新社區新社段#1911#
台電台中區營業處#L53101#管線遷移工程#2017/10/02 10:00~10:40#無#中市新社區中和街二段#1911#
台電台中區營業處#L53102#管線遷移工程#2017/10/02 10:50~11:35#無#中市新社區鳥銃頭段#1911#
台電台中區營業處#L53102#管線遷移工程#2017/10/02 10:50~11:35#無#中市新社區復盛小段#1911#
台電台中區營業處#L53102#管線遷移工程#2017/10/02 10:50~11:35#無#中市新社區復盛里#1911#
