營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台南區營業處#H36351#管線遷移工程#2017/10/02 08:00~10:00#無#南市玉井區忠孝街#1911#
台電台南區營業處#L10962#管線遷移工程#2017/10/02 08:00~11:00#無#南市歸仁區保大路一段#1911#
台電台南區營業處#L10962#管線遷移工程#2017/10/02 08:00~11:00#無#南市歸仁區媽祖廟段#1911#
台電台南區營業處#L10962#管線遷移工程#2017/10/02 08:00~11:00#無#南市歸仁區媽袓廟段一小段#1911#
台電台南區營業處#H16259#管線遷移工程#2017/10/02 08:00~09:00#無#南市仁德區#1911#
台電台南區營業處#L31070#管線遷移工程#2017/10/02 08:00~09:00#無#南市東區勝利路#1911#
台電台南區營業處#H16259#管線遷移工程#2017/10/02 08:00~09:00#無#南市仁德區中正路三段#1911#
台電台南區營業處#H16259#管線遷移工程#2017/10/02 08:00~09:00#無#南市仁德區忠義段#1911#
台電台南區營業處#L31070#管線遷移工程#2017/10/02 08:00~09:00#無#南市北區勝利路#1911#
台電台南區營業處#H36324#管線遷移工程#2017/10/02 08:30~16:30#無#南市永康區南台街#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區十一份段#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區竹橋里竹橋#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區竹橋段#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區看坪里#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區看坪里看坪#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區看坪段#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區義合段#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區樹子腳段#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區樹林里#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區樹林里樹林#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區樹林段#1911#
台電台南區營業處#H36330#管線遷移工程#2017/10/02 08:30~16:30#無#南市七股區#1911#
台電台南區營業處#H16260#管線遷移工程#2017/10/02 08:30~09:30#無#南市仁德區一甲里#1911#
台電台南區營業處#H16260#管線遷移工程#2017/10/02 08:30~09:30#無#南市仁德區中正路#1911#
台電台南區營業處#H16260#管線遷移工程#2017/10/02 08:30~09:30#無#南市仁德區中正路三段#1911#
