營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電宜蘭區營業處#L18690#管線遷移工程#2017/10/02 08:30~09:20#無#宜縣三星鄉大隱三路#1911#
台電宜蘭區營業處#H36905#管線遷移工程#2017/10/02 09:00~13:00#無#宜縣壯圍鄉中央路一段#1911#
台電宜蘭區營業處#H36905#管線遷移工程#2017/10/02 09:00~13:00#無#宜縣壯圍鄉美福路#1911#
台電宜蘭區營業處#H36905#管線遷移工程#2017/10/02 09:00~13:00#無#宜縣壯圍鄉吉安路#1911#
台電宜蘭區營業處#H36905#管線遷移工程#2017/10/02 09:00~13:00#無#宜縣壯圍鄉古結路#1911#
台電宜蘭區營業處#H26854#管線遷移工程#2017/10/02 09:00~12:00#無#宜縣蘇澳鎮中山路二段#1911#
台電宜蘭區營業處#L18691#管線遷移工程#2017/10/02 09:20~10:10#無#宜縣三星鄉大隱三路#1911#
台電宜蘭區營業處#L18692#管線遷移工程#2017/10/02 10:10~11:10#無#宜縣三星鄉大隱三路#1911#
台電宜蘭區營業處#L18692#管線遷移工程#2017/10/02 10:10~11:10#無#宜縣三星鄉大埔路#1911#
台電宜蘭區營業處#L18693#管線遷移工程#2017/10/02 11:10~12:10#無#宜縣三星鄉大隱村堤防路#1911#
台電宜蘭區營業處#L28626#管線遷移工程#2017/10/02 13:00~17:00#無#宜縣蘇澳鎮頂興路#1911#
台電宜蘭區營業處#L28626#管線遷移工程#2017/10/02 13:00~17:00#無#宜縣蘇澳鎮頂寮里#1911#
台電宜蘭區營業處#L28626#管線遷移工程#2017/10/02 13:00~17:00#無#宜縣蘇澳鎮頂寮路#1911#
台電宜蘭區營業處#L18694#管線遷移工程#2017/10/02 13:40~14:40#無#宜縣三星鄉大埔路#1911#
台電宜蘭區營業處#L18695#管線遷移工程#2017/10/02 14:40~15:40#無#宜縣三星鄉大埔路#1911#
台電宜蘭區營業處#L18695#管線遷移工程#2017/10/02 14:40~15:40#無#宜縣三星鄉大隱一路#1911#
台電宜蘭區營業處#L18696#管線遷移工程#2017/10/02 15:40~17:00#無#宜縣冬山鄉進偉二路#1911#
台電宜蘭區營業處#L18696#管線遷移工程#2017/10/02 15:40~17:00#無#宜縣冬山鄉進利路#1911#
台電宜蘭區營業處#H36893#管線遷移工程#2017/10/03 08:00~17:00#無#宜縣礁溪鄉三皇路#1911#
台電宜蘭區營業處#H36893#管線遷移工程#2017/10/03 08:00~17:00#無#宜縣礁溪鄉大坡路#1911#
台電宜蘭區營業處#H36893#管線遷移工程#2017/10/03 08:00~17:00#無#宜縣礁溪鄉四結路#1911#
台電宜蘭區營業處#H36893#管線遷移工程#2017/10/03 08:00~17:00#無#宜縣礁溪鄉育龍路#1911#
台電宜蘭區營業處#H36893#管線遷移工程#2017/10/03 08:00~17:00#無#宜縣礁溪鄉育英路#1911#
台電宜蘭區營業處#H36893#管線遷移工程#2017/10/03 08:00~17:00#無#宜縣礁溪鄉吳沙村三興巷#1911#
台電宜蘭區營業處#H36893#管線遷移工程#2017/10/03 08:00~17:00#無#宜縣礁溪鄉吳沙村#1911#
台電宜蘭區營業處#L38686#管線遷移工程#2017/10/03 09:00~12:00#無#宜縣壯圍鄉功勞路#1911#
台電宜蘭區營業處#L38686#管線遷移工程#2017/10/03 09:00~12:00#無#宜縣壯圍鄉大福路三段#1911#
台電宜蘭區營業處#L38685#管線遷移工程#2017/10/03 09:00~12:00#無#宜縣頭城鎮協天路#1911#
台電宜蘭區營業處#L38685#管線遷移工程#2017/10/03 09:00~12:00#無#宜縣頭城鎮大坑路#1911#
台電宜蘭區營業處#H16910#管線遷移工程#2017/10/03 09:00~12:00#無#宜縣蘇澳鎮中山路二段#1911#
台電宜蘭區營業處#H16882#管線遷移工程#2017/10/03 09:40~10:40#無#宜縣壯圍鄉中興五路#1911#
台電宜蘭區營業處#H16883#管線遷移工程#2017/10/03 10:50~12:30#無#宜縣壯圍鄉新南一路#1911#
台電宜蘭區營業處#L38625#管線遷移工程#2017/10/03 13:00~17:00#無#宜縣壯圍鄉新社路#1911#
台電宜蘭區營業處#H36850#管線遷移工程#2017/10/03 13:00~17:00#無#宜縣壯圍鄉美福路#1911#
台電宜蘭區營業處#H36850#管線遷移工程#2017/10/03 13:00~17:00#無#宜縣壯圍鄉中興二路#1911#
台電宜蘭區營業處#H16895#管線遷移工程#2017/10/03 15:30~16:20#無#宜縣礁溪鄉車路頭路#1911#
台電宜蘭區營業處#H16895#管線遷移工程#2017/10/03 15:30~16:20#無#宜縣壯圍鄉土圍路#1911#
台電宜蘭區營業處#H16895#管線遷移工程#2017/10/03 15:30~16:20#無#宜縣壯圍鄉美城村#1911#
台電宜蘭區營業處#H16895#管線遷移工程#2017/10/03 15:30~16:20#無#宜縣礁溪鄉玉田段#1911#
台電宜蘭區營業處#H16895#管線遷移工程#2017/10/03 15:30~16:20#無#宜縣礁溪鄉踏踏路#1911#
台電宜蘭區營業處#H16895#管線遷移工程#2017/10/03 15:30~16:20#無#宜縣礁溪鄉茅埔路#1911#
台電宜蘭區營業處#H16895#管線遷移工程#2017/10/03 15:30~16:20#無#宜縣礁溪鄉玉田村#1911#
台電宜蘭區營業處#L38665#管線遷移工程#2017/10/05 08:30~15:00#無#宜縣宜蘭市女中路一段#1911#
台電宜蘭區營業處#L38665#管線遷移工程#2017/10/05 08:30~15:00#無#宜縣宜蘭市女中路二段#1911#
台電宜蘭區營業處#L38665#管線遷移工程#2017/10/05 08:30~15:00#無#宜縣宜蘭市中山路二段#1911#
台電宜蘭區營業處#L38665#管線遷移工程#2017/10/05 08:30~15:00#無#宜縣宜蘭市中華路#1911#
台電宜蘭區營業處#L18733#管線遷移工程#2017/10/05 09:00~11:00#無#宜縣羅東鎮月眉街#1911#
台電宜蘭區營業處#L18733#管線遷移工程#2017/10/05 09:00~11:00#無#宜縣羅東鎮月眉路#1911#
台電宜蘭區營業處#L18733#管線遷移工程#2017/10/05 09:00~11:00#無#宜縣羅東鎮羅莊街#1911#
台電宜蘭區營業處#L38687#管線遷移工程#2017/10/05 09:00~12:00#無#宜縣壯圍鄉壯濱路一段#1911#
台電宜蘭區營業處#H36901#管線遷移工程#2017/10/05 13:00~17:00#無#宜縣壯圍鄉壯濱路二段#1911#
台電宜蘭區營業處#H36857#管線遷移工程#2017/10/05 13:00~17:00#無#宜縣礁溪鄉玉光村#1911#
台電宜蘭區營業處#H36857#管線遷移工程#2017/10/05 13:00~17:00#無#宜縣礁溪鄉番割田路#1911#
台電宜蘭區營業處#H36857#管線遷移工程#2017/10/05 13:00~17:00#無#宜縣礁溪鄉瑪璘路#1911#
台電宜蘭區營業處#H36857#管線遷移工程#2017/10/05 13:00~17:00#無#宜縣礁溪鄉瑪僯路#1911#
台電宜蘭區營業處#H36901#管線遷移工程#2017/10/05 13:00~17:00#無#宜縣壯圍鄉紅葉路#1911#
台電宜蘭區營業處#L38666#管線遷移工程#2017/10/05 15:30~17:00#無#宜縣宜蘭市民族路#1911#
台電宜蘭區營業處#L18703#管線遷移工程#2017/10/06 08:00~09:00#無#宜縣壯圍鄉大福路二段#1911#
台電宜蘭區營業處#H36874#管線遷移工程#2017/10/06 08:30~12:00#無#宜縣宜蘭市女中路三段#1911#
台電宜蘭區營業處#H36874#管線遷移工程#2017/10/06 08:30~08:45#2017/10/06 11:45~12:00#宜縣宜蘭市女中路#1911#
