停水原因,停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
鹿港-鹿港鎮頂草路一段107巷7弄及99弄、頂草路2段23巷管線汰換【BG106_00029】,【停水區域一】彰化縣鹿港鎮頂番里，鹿港鎮頂番里頂草路一段107巷7弄及99弄、頂草路2段23巷{全部}，進行管線汰換，預定施工期程為9月20日至10月27日，承商施工至該用戶門口前，預計當日下午2點至5點進行用戶外線改接，請民眾提早蓄水備用，待供水恢復後再啟動加壓設備，不便之處，多加體諒。,2017-09-20 09:00至2017-10-27 17:00(每日上午9點至下午5點),2017-10-27 17:00以後,04-7772127、04-7772609,2017/9/20~2017/10/28,505彰化縣鹿港鎮     
學甲區華宗路等汰換管線工程【68106_00120】,【停水區域一】台南市學甲區中山路;中正路;華宗路;新生路,2017-09-25 08:00至2017-10-08 17:00(106年9月25~10月08日上午08時00分至下午17時00分止停水(如遇雨則順延，每日施工完成後恢復供水)。),2017-10-08 17:00以後,067222477,2017/9/25~2017/10/9,726台南市學甲區     
岡山區中華路等汰換管線工程【76106_00090】,【停水區域一】高雄市岡山區仁壽里;前峰里;中華路;民族路;前峰路一帶,2017-09-27 08:30至2017-10-20 18:00(於9/27至10/20上午8:30至18:00),2017-10-20 18:00以後,07-6222814,2017/9/25~2017/10/21,820高雄市岡山區     
台中市西屯區文華路(逢甲至福星路)汰換管線工程【RB-04-0401-45】，施工停水。影響：逢甲里(部分);逢福里(部分);鵬程里(部分);西平里(部分);造成不便;敬請見諒。【4S106_01162】,【停水區域一】台中市西屯區逢甲里(部分);逢福里(部分);鵬程里(部分);西平里(部分);文華路;文華路永新巷;文華路永新巷北一弄;文華路永新巷北二弄;文華路永新巷北三弄;文華路永新巷南二弄,2017-09-18 07:00至2017-10-31 16:00(每日07時00分至16時00分，每日16時00分起恢復正常供水。〔僅每日施工路段(約100公尺)週邊用戶停水(影響戶數約數十戶不等〕遇雨順延。),2017-10-31 16:00以後,04-22442469,2017/9/27~2017/11/1,407台中市西屯區     
10/12「凌雲加壓站管線聯絡工程」公告停水【20106_00019】,【停水區域一】桃園市龍潭區中原路、渴望路、渴望一路、新原路、新和路、福源路。,2017-10-12 10:00至2017-10-12 18:00,2017-10-12 18:00以後,免付費服務電話：1910   大溪服務所:03-4711836,2017/9/27~2017/10/13,325桃園市龍潭區     
辦理「嘉市民國路、啟明路汰換管線工程」，抽換埋設200、300公釐DIP自來水管線【50106_00078】,【停水區域一】嘉義市東區自民國路與公明路口東側至民國路與民族路口東側用戶(門牌偶數106-162號)，光彩街與民國路路口至光彩街至新生路路口全部，中正路與民國路路口至中正路與新生路路口，公明路與民國路路口至公明路與新生路路口全部。,2017-10-02 08:00至2017-10-07 18:00(每日上午8時到下午6時暫停供水(中秋節正常供水)),2017-10-07 18:00以後,052252670#315,2017/9/28~2017/10/8,600嘉義市東區       
雲縣土庫鎮市區道路汰換管線工程工程施作【5M106_00098】,【停水區域一】雲林縣土庫鎮東平里;新建路;復興路;修德街;中正路;三義路;光復路;馬光路;中興路,2017-10-02 08:00至2017-10-08 18:00(每日上午8點至下午6點),2017-10-08 18:00以後,05-6322047,2017/9/28~2017/10/9,633雲林縣土庫鎮     
嘉縣水上鄉中庄村汰換管線工程【50106_00080】,【停水區域一】嘉義縣水上鄉中庄村4-1號至4之28號、2號至11-1號、16及17號,2017-10-05 08:00至2017-10-08 18:00(:每日上午8點至下午6點),2017-10-08 18:00以後,0972503183監造、現場人員0981011203,2017/9/29~2017/10/9,608嘉義縣水上鄉     
定區蘇林里雨水下水道配合改善工程 (遇雨順延)【63106_00323】,【停水區域一】台南市安定區蘇林里;蘇厝里;蘇厝,2017-10-03 08:00至2017-10-07 18:00(每日上午8點至下午6點),2017-10-07 18:00以後,065973437,2017/9/30~2017/10/8,745台南市安定區     
管線汰換工程【7I106_00127】,【停水區域一】高雄市三民區博惠里建國一路北側(由民族一路以東至凱旋一路以西)一帶,2017-10-02 08:00至2017-10-07 18:00(每日上午8點至下午6點),2017-10-07 18:00以後,3312292-237,2017/9/30~2017/10/8,807高雄市三民區     
